127.0.0.1 - - [17/Nov/2016:15:22:31 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/ HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/js/jquery-2.1.3.min.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/images/renyuan.png HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/images/yingting.png HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/images/zuowei.png HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/images/yingpian.png HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:42 +0800] "GET /ttms/images/dingpiao.png HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:49 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:49 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:51 +0800] "GET /ttms/index1.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:22:51 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:00 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:00 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:05 +0800] "GET /ttms/add.jsp HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:05 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:42 +0800] "POST /ttms/EmployeeServlet?method=add HTTP/1.1" 200 4856
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:42 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:45 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:45 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:47 +0800] "GET /ttms/index1.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:47 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:58 +0800] "POST /ttms/EmployeeServlet?method=searchByPage HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:23:58 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:07 +0800] "POST /ttms/EmployeeServlet?method=searchByPage HTTP/1.1" 200 5469
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:07 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:10 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=1&emp_name= HTTP/1.1" 200 5469
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:10 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:11 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=2&emp_name= HTTP/1.1" 200 5499
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:11 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:12 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=3&emp_name= HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:12 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:13 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=4&emp_name= HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:13 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:14 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=3&emp_name= HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:14 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:18 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:18 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:19 +0800] "GET /ttms/index1.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:19 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:22 +0800] "GET /ttms/EmployeeServlet?method=searchByPage&currentPage=1&emp_name= HTTP/1.1" 200 5469
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:22 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:26 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:26 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:31 +0800] "GET /ttms/index.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:31 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:32 +0800] "GET /ttms/index1.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [17/Nov/2016:15:24:33 +0800] "GET /ttms/css/newadd.css HTTP/1.1" 404 1032
